epoch,train_loss,val_dice_soft,val_dice_hard,lr,epoch_time_sec,nonfinite_batches,optimizer_steps,val_dice_soft_positives,val_dice_hard_positives
133,0.227505,0.250898,0.253393,0.00086622,5.66,0,11837,0.460205,0.46562
134,0.222907,0.152239,0.153387,0.0008643,5.7,0,11926,0.490518,0.495916
135,0.226221,0.234331,0.236276,0.00086237,5.71,0,12015,0.42703,0.430986
136,0.223147,0.206624,0.208918,0.00086042,5.66,0,12104,0.513072,0.518103
137,0.220205,0.212519,0.213859,0.00085847,5.73,0,12193,0.405554,0.408066
138,0.223837,0.170024,0.171895,0.0008565,5.81,0,12282,0.444459,0.450187
139,0.225254,0.190854,0.192352,0.00085452,5.61,0,12371,0.471727,0.475216
140,0.222646,0.164922,0.16675,0.00085253,5.72,0,12460,0.49231,0.497771
141,0.223024,0.193085,0.195802,0.00085053,5.59,0,12549,0.461958,0.468435
142,0.226541,0.312525,0.316482,0.00084852,5.78,0,12638,0.436257,0.440256
143,0.224671,0.206232,0.208333,0.0008465,5.62,0,12727,0.485771,0.490675
144,0.222845,0.180334,0.181615,0.00084446,5.63,0,12816,0.490699,0.494947
145,0.2216,0.184955,0.186805,0.00084242,5.58,0,12905,0.440257,0.444692
146,0.222331,0.168355,0.16955,0.00084036,5.72,0,12994,0.453813,0.457511
147,0.219041,0.163324,0.164956,0.0008383,5.71,0,13083,0.429075,0.433892
148,0.22454,0.148671,0.149946,0.00083622,5.71,0,13172,0.460722,0.465207
149,0.22603,0.189251,0.190417,0.00083413,5.63,0,13261,0.464906,0.468753
150,0.215228,0.202054,0.203351,0.00083203,5.81,0,13350,0.476418,0.480697
151,0.222014,0.153138,0.154273,0.00082993,5.69,0,13439,0.466996,0.47153
152,0.222412,0.201346,0.203067,0.00082781,5.69,0,13528,0.448907,0.453033
153,0.217023,0.165816,0.167011,0.00082568,5.6,0,13617,0.446918,0.450085
154,0.217702,0.130078,0.130935,0.00082354,5.78,0,13706,0.46844,0.473116
155,0.218073,0.182881,0.183524,0.00082139,5.55,0,13795,0.468346,0.470553
156,0.215526,0.201709,0.202978,0.00081923,5.57,0,13884,0.443791,0.447497
157,0.21306,0.208869,0.210117,0.00081706,5.6,0,13973,0.446988,0.450112
158,0.215235,0.234593,0.235965,0.00081488,5.73,0,14062,0.470821,0.473451
159,0.217578,0.237742,0.239615,0.00081269,5.73,0,14151,0.47863,0.481975
160,0.216165,0.221243,0.222826,0.00081049,5.69,0,14240,0.475559,0.478508
161,0.213328,0.195803,0.197252,0.00080828,5.62,0,14329,0.453822,0.457032
162,0.211499,0.192951,0.194723,0.00080606,5.68,0,14418,0.489168,0.493191
163,0.219815,0.250601,0.252776,0.00080383,5.75,0,14507,0.483436,0.487613
164,0.218772,0.213358,0.214752,0.00080159,5.81,0,14596,0.480612,0.483271
165,0.21575,0.163871,0.165265,0.00079934,5.68,0,14685,0.508068,0.512035
166,0.216082,0.224974,0.22643,0.00079709,5.72,0,14774,0.524441,0.528251
167,0.216258,0.168922,0.170231,0.00079482,5.74,0,14863,0.491609,0.495745
168,0.213503,0.194111,0.195436,0.00079254,5.78,0,14952,0.498104,0.501577
169,0.212065,0.205703,0.208458,0.00079026,5.71,0,15041,0.499476,0.504067
170,0.211219,0.223372,0.225216,0.00078796,5.61,0,15130,0.509349,0.513141
171,0.212607,0.274456,0.277307,0.00078566,5.67,0,15219,0.508877,0.513175
172,0.211797,0.203286,0.20498,0.00078335,5.67,0,15308,0.50656,0.509903
173,0.212456,0.214214,0.216376,0.00078103,5.81,0,15397,0.517295,0.52163
174,0.210538,0.225291,0.226803,0.0007787,5.71,0,15486,0.490249,0.493347
175,0.210636,0.243962,0.245954,0.00077636,5.72,0,15575,0.452772,0.456445
176,0.211587,0.242985,0.245197,0.00077401,5.72,0,15664,0.475058,0.478492
177,0.213464,0.207257,0.208254,0.00077165,5.8,0,15753,0.460973,0.463532
178,0.21347,0.146867,0.147543,0.00076929,5.95,0,15842,0.483022,0.485671
179,0.213523,0.175661,0.177121,0.00076691,5.88,0,15931,0.452224,0.456032
180,0.211715,0.170762,0.172239,0.00076453,5.99,0,16020,0.494329,0.498228
181,0.210303,0.228359,0.230024,0.00076214,5.77,0,16109,0.425444,0.426802
182,0.209635,0.236606,0.238102,0.00075974,5.82,0,16198,0.472583,0.475024
183,0.211588,0.269214,0.271455,0.00075734,5.72,0,16287,0.500436,0.503658
184,0.209895,0.203134,0.204704,0.00075492,5.67,0,16376,0.503659,0.506267
185,0.211164,0.242531,0.243662,0.0007525,5.71,0,16465,0.49853,0.50172
186,0.205503,0.221803,0.223471,0.00075007,5.65,0,16554,0.448542,0.451185
187,0.210092,0.230028,0.231021,0.00074763,5.61,0,16643,0.432579,0.434006
188,0.208104,0.21455,0.215637,0.00074518,5.68,0,16732,0.467436,0.470098
189,0.206446,0.180677,0.182052,0.00074273,5.66,0,16821,0.459053,0.461111
190,0.204808,0.220532,0.222113,0.00074027,5.8,0,16910,0.442284,0.444302
191,0.206923,0.221077,0.222922,0.0007378,5.63,0,16999,0.450267,0.452926
192,0.207409,0.204497,0.205795,0.00073532,5.79,0,17088,0.47143,0.473072
193,0.209704,0.238261,0.239397,0.00073284,5.77,0,17177,0.502253,0.504046
194,0.210592,0.214879,0.215954,0.00073035,5.83,0,17266,0.483444,0.485245
195,0.208905,0.213603,0.214562,0.00072785,5.9,0,17355,0.490366,0.492323
196,0.207453,0.158307,0.158958,0.00072535,5.83,0,17444,0.506168,0.509208
197,0.204524,0.25915,0.260663,0.00072283,5.64,0,17533,0.464166,0.466233
198,0.205348,0.220539,0.221933,0.00072031,5.6,0,17622,0.501055,0.503898
199,0.208529,0.280776,0.282737,0.00071779,5.75,0,17711,0.513883,0.516981
200,0.202639,0.230125,0.231791,0.00071525,5.73,0,17800,0.467618,0.469911
201,0.207426,0.248463,0.249629,0.00071271,5.84,0,17889,0.486967,0.489522
202,0.206068,0.155811,0.156862,0.00071017,5.8,0,17978,0.523664,0.527232
203,0.204478,0.202427,0.203364,0.00070761,5.63,0,18067,0.488538,0.491406
204,0.206584,0.222081,0.223364,0.00070505,5.8,0,18156,0.51621,0.519318
205,0.204114,0.230866,0.232374,0.00070249,5.71,0,18245,0.521276,0.524413
206,0.207148,0.216999,0.217979,0.00069992,5.65,0,18334,0.505622,0.50827
207,0.204744,0.228269,0.229276,0.00069734,5.75,0,18423,0.478768,0.479867
208,0.203804,0.188622,0.189585,0.00069475,5.76,0,18512,0.490909,0.493163
209,0.206074,0.25324,0.254592,0.00069216,5.73,0,18601,0.479611,0.481669
210,0.203281,0.240631,0.241765,0.00068956,5.79,0,18690,0.517658,0.519894
211,0.201166,0.269212,0.270952,0.00068696,5.73,0,18779,0.469559,0.471825
212,0.200272,0.24926,0.250371,0.00068435,5.61,0,18868,0.511802,0.514315
213,0.20419,0.227656,0.229064,0.00068174,5.66,0,18957,0.486247,0.488777
214,0.203484,0.267554,0.268472,0.00067912,5.56,0,19046,0.507732,0.50916
215,0.200329,0.251123,0.252951,0.00067649,5.63,0,19135,0.487184,0.490041
216,0.204645,0.255079,0.25598,0.00067386,5.64,0,19224,0.482308,0.484651
217,0.199797,0.250225,0.251695,0.00067122,5.62,0,19313,0.492074,0.494821
218,0.20333,0.231341,0.232957,0.00066858,5.71,0,19402,0.512221,0.515279
219,0.204436,0.193243,0.194556,0.00066594,5.68,0,19491,0.516566,0.518873
220,0.202739,0.223402,0.224846,0.00066328,5.73,0,19580,0.493734,0.496465
221,0.199666,0.245011,0.246501,0.00066063,5.59,0,19669,0.506573,0.509309
222,0.20311,0.206975,0.208408,0.00065796,5.53,0,19758,0.497308,0.50004
223,0.201952,0.224855,0.226247,0.0006553,5.67,0,19847,0.505104,0.50732
224,0.200617,0.270016,0.271676,0.00065262,5.78,0,19936,0.520002,0.52309
225,0.199558,0.238079,0.239426,0.00064995,5.84,0,20025,0.510724,0.512961
226,0.199557,0.268832,0.270914,0.00064727,5.7,0,20114,0.50326,0.505979
227,0.200444,0.270998,0.272415,0.00064458,5.69,0,20203,0.515546,0.5176
228,0.198427,0.22282,0.224157,0.00064189,5.79,0,20292,0.503316,0.505413
229,0.201875,0.21318,0.214032,0.00063919,5.76,0,20381,0.521056,0.523502
230,0.202395,0.192444,0.193125,0.0006365,5.77,0,20470,0.507927,0.509732
231,0.19824,0.245515,0.246551,0.00063379,5.76,0,20559,0.50145,0.503797
232,0.198779,0.230275,0.231117,0.00063108,5.93,0,20648,0.490788,0.492389
233,0.197726,0.268947,0.270527,0.00062837,5.71,0,20737,0.514415,0.517175
234,0.198341,0.200774,0.201278,0.00062566,5.58,0,20826,0.488938,0.490282
235,0.200071,0.203937,0.204658,0.00062294,5.78,0,20915,0.508448,0.509837
236,0.200166,0.232908,0.234194,0.00062021,5.74,0,21004,0.51762,0.52016
237,0.196192,0.219681,0.220638,0.00061749,5.63,0,21093,0.478377,0.480624
238,0.199704,0.209068,0.2102,0.00061476,5.55,0,21182,0.492274,0.494178
239,0.196878,0.265167,0.266248,0.00061202,5.67,0,21271,0.510206,0.51167
240,0.197647,0.203674,0.204937,0.00060929,5.76,0,21360,0.512017,0.513986
241,0.199511,0.218512,0.219978,0.00060655,5.75,0,21449,0.502594,0.505495
242,0.199368,0.252892,0.254341,0.0006038,5.79,0,21538,0.511249,0.512945
243,0.195417,0.306172,0.307746,0.00060105,5.72,0,21627,0.471734,0.473657
244,0.196899,0.216143,0.216969,0.0005983,5.71,0,21716,0.468068,0.470162
